Balance sheet (VND Bn),3Q21,4Q21,1Q22,2Q22,3Q22,9M21,9M22,9M22 vs. 9M21,3Q22 vs. 2Q22,3Q22 vs. 3Q21
Total assets,541635,568729,615270,623739,671354,541635,671354,23.9%,7.6%,23.9%
Deposits from customers,316376,314753,328914,321634,318919,316376,318919,0.8%,-0.8%,0.8%
Credit growth1,14.1%,22.1%,7.9%,8.5%,11.1%,14.1%,11.1%,-299 bps,+262 bps,-299 bps
CASA,49.0%,50.5%,50.4%,47.5%,46.5%,49.0%,46.5%,-253 bps,-100 bps,-253 bps
NPL,0.6%,0.7%,0.7%,0.6%,0.6%,0.6%,0.6%,+8 bps,+5 bps,+8 bps
Credit costs (LTM),0.7%,0.7%,0.6%,0.4%,0.3%,0.7%,0.3%,-35 bps,-7 bps,-35 bps
Coverage ratio,184.4%,162.9%,160.8%,171.6%,165.0%,184.4%,165.0%,-1944 bps,-662 bps,-1944 bps
Capital and liquidity,3Q21,4Q21,1Q22,2Q22,3Q22,9M21,9M22,9M22 vs. 9M21,3Q22 vs. 2Q22,3Q22 vs. 3Q22
Basel II CAR,15.2%,15.0%,15.1%,15.8%,15.7%,15.2%,15.7%,+55 bps,-11 bps,+55 bps
Basel II Tier 1 ratio,14.7%,14.6%,14.7%,15.5%,15.6%,14.7%,15.6%,+92 bps,+16 bps,+92 bps
Total Risk Weighted Assets,595222,632576,665371,668679,696149,595222,696149,17.0%,4.1%,17.0%
ST fundings to MLT loans2,32.6%,28.8%,32.2%,32.0%,27.4%,32.6%,27.4%,-514 bps,-457 bps,-514 bps
LDR2,76.7%,75.0%,71.9%,78.8%,78.2%,76.7%,78.2%,+146 bps,-65 bps,+146 bps
Profitability (VND Bn),3Q21,4Q21,1Q22,2Q22,3Q22,9M21,9M22,9M22 vs. 9M21,3Q22 vs. 2Q22,3Q22 vs. 3Q21
Net interest income,6742,7245,8111,7794,7565,19454,23470,20.6%,-2.9%,12.2%
Non-interest income,2037,2914,2001,3231,2773,7463,8004,7.3%,-14.2%,36.1%
Total operating income,8779,10159,10112,11024,10338,26917,31475,16.9%,-6.2%,17.8%
Operating expenses,"(2,628)","(3,392)","(3,108)","(3,286)","(3,014)","(7,781)","(9,408)",20.9%,-8.3%,14.7%
Profit before tax,5562,6140,6785,7321,6715,17098,20822,21.8%,-8.3%,20.7%
NFI/TOI3,20.8%,25.7%,20.5%,23.1%,24.6%,20.0%,22.7%,+274 bps,+151 bps,+384 bps
CIR,29.9%,33.4%,30.7%,29.8%,29.2%,28.9%,29.9%,+98 bps,-65 bps,-78 bps
ROA (LTM),3.8%,3.7%,3.6%,3.6%,3.6%,3.8%,3.6%,-20 bps,-4 bps,-20 bps
ROE (LTM),22.1%,21.7%,21.8%,21.8%,21.7%,22.1%,21.7%,-45 bps,-16 bps,-45 bps
NIM (LTM),5.63%,5.63%,5.64%,5.55%,5.40%,5.63%,5.40%,-22 bps,-15 bps,-22 bps
Cost of funds,2.3%,2.1%,2.2%,2.3%,2.9%,2.3%,2.5%,+16 bps,+58 bps,+60 bps
Cost of funds - Last line,10,10,10,10,10,10,10,10,10,10
